id;char;reading;translation;jlpt_level
129;暦;こよみ;calendar, almanac;1
130;凝らす;こらす;to concentrate, to devote, to peer into;1
131;ごらんなさい (かん);ごらんなさい (かん);look, (please) try to do;1
132;孤立;こりつ;isolation, helplessness;1
133;懲りる;こりる;to learn by experience, to be disgusted with;1
134;凝る;こる;to stiffen, to harden;1
135;根気;こんき;"patience; perseverance, energy";1
136;根拠;こんきょ;basis, foundation;1
137;混血;こんけつ;mixed race, mixed parentage;1
138;コンタクト (レンズ);コンタクト (レンズ);"contact; contact lens";1
139;昆虫;こんちゅう;insect, bug;1
140;根底;こんてい;root, basis, foundation;1
141;混同;こんどう;confusion, mixing, merger;1
142;コントラスト;コントラスト;contrast;1
143;コントロール;コントロール;control;1
144;コンパス;コンパス;compass;1
145;根本;こんぽん;foundation, root, base;1
146;財;ざい;fortune, riches;1
147;再会;さいかい;meeting again, reunion;1
148;災害;さいがい;calamity, disaster, misfortune;1
149;細菌;さいきん;bacillus, bacterium, germ;1
150;細工;さいく;work, craftsmanship, trick;1
151;採掘;さいくつ;mining;1
152;サイクル;サイクル;cycle;1
153;採決;さいけつ;vote, roll call;1
154;再建;さいけん;(temple or shrine) rebuilding;1
155;再現;さいげん;reproduction, return, revival;1
156;財源;ざいげん;source of funds, resources, finances;1
157;在庫;ざいこ;stockpile, stock;1
158;採算;さいさん;profit;1
159;サイズ;サイズ;size;1
160;再生;さいせい;playback, regeneration, resuscitation;1
161;財政;ざいせい;economy, financial affairs;1
162;最善;さいぜん;the very best;1
163;採択;さいたく;adoption, selection, choice;1
164;栽培;さいばい;cultivation;1
165;再発;さいはつ;return, relapse, reoccurrence;1
166;細胞;さいぼう;cell;1
167;採用;さいよう;use, adopt;1
168;遮る;さえぎる;to interrupt, to intercept, to obstruct;1
169;さえずる;さえずる;to sing, to chirp, to twitter;1
170;冴える;さえる;to be clear, to be bright, to be skillful;1
171;竿;さお;rod, pole (e.g., for drying laundry);1
172;栄える;さかえる;to flourish, to prosper, to thrive;1
173;差額;さがく;balance, difference, margin;1
174;杯;さかずき;wine cup;1
175;逆立ち;さかだち;handstand, headstand;1
176;さきに (いぜん);さきに (いぜん);before, earlier than, previously;1
177;詐欺;さぎ;fraud, swindle;1
178;削減;さくげん;cut, reduction;1
179;錯誤;さくご;mistake;1
180;作戦;さくせん;military operations, tactics, strategy;1
181;叫び;さけび;shout, scream, outcry;1
182;捧げる;ささげる;to lift up, to give, to offer;1
183;差し掛かる;さしかかる;to come near to, to approach;1
184;指図;さしず;instruction, mandate;1
185;差し出す;さしだす;to present, to submit, to hold out;1
186;差し支える;さしつかえる;to interfere, to hinder;1
187;授ける;さずける;to grant, to award, to teach;1
188;摩する;さする;to rub, to stroke;1
189;さぞ (さぞや。さぞかし);さぞ (さぞや。さぞかし);I am sure, certainly, no doubt;1
190;定まる;さだまる;to become settled, to be fixed;1
191;定める;さだめる;to decide, to determine;1
192;座談会;ざだんかい;symposium, round-table discussion;1
193;雑;ざつ;rough, crude;1
194;雑貨;ざっか;miscellaneous goods, general goods;1
195;殺人;さつじん;murder;1
196;察する;さっする;to guess, to sense, to judge;1
197;雑談;ざつだん;chatting, idle talk;1
198;さっと;さっと;suddenly, smoothly;1
199;さっぱりする;さっぱりする;to refresh;1
200;悟る;さとる;to attain enlightenment, to understand;1
201;最中;さなか;in the middle of, midst;1
202;座標;ざひょう;coordinates;1
203;さほど;さほど;not so, not that much;1
204;サボる;サボる;"to cut (skip) classes; to loaf on the job; to idle away one's time";1
205;様;さま;"state; way (a person does something); Mr. or Mrs.";1
206;寒気;さむけ;chill, shiver, cold;1
207;侍;さむらい;samurai;1
208;さも;さも;with gusto, with satisfaction;1
209;作用;さよう;operation, effect, function;1
210;さらう (こどもを～);さらう (こどもを～);to kidnap;1
211;障る;さわる;to hinder, to interfere with, to affect;1
212;酸;さん;acid;1
213;山岳;さんがく;mountains;1
214;参議院;さんぎいん;House of Councilors;1
215;産休;さんきゅう;maternity leave;1
216;サンキュー;サンキュー;thank you;1
217;残金;ざんきん;remaining money;1
218;産後;さんご;postpartum, after childbirth;1
219;残酷;ざんこく;cruelty, harshness;1
220;産出;さんしゅつ;yield, produce;1
221;参照;さんしょう;reference, consultation, consultation;1
222;参上;さんじょう;calling on, visiting;1
223;残高;ざんだか;(bank) balance, remainder;1
224;サンタクロース;サンタクロース;Santa Claus;1
225;桟橋;さんばし;wharf, jetty, pier;1
226;賛美;さんび;praise, adoration, glorification;1
227;山腹;さんぷく;hillside, mountainside;1
228;産婦人科;さんふじんか;maternity and gynecology department;1
229;産物;さんぶつ;product, result, fruit;1
230;山脈;さんみゃく;mountain range;1
231;仕上がり;しあがり;finish, end, completion;1
232;仕上;しあげ;end, finishing touches;1
233;仕上げる;しあげる;to finish up, to complete;1
234;飼育;しいく;breeding, raising, rearing;1
235;強いて;しいて;to dare, to insist;1
236;シート;シート;"seat; sheet";1
237;ジーパン;ジーパン;jeans;1
238;仕入れる;しいれる;to lay in stock, to replenish stock, to procure;1
239;強いる;しいる;to force, to compel, to coerce;1
240;潮;しお;tide;1
241;歯科;しか;dentistry;1
242;自我;じが;self, ego;1
243;自覚;じかく;self-conscious;1
244;仕掛;しかけ;device, trick, mechanism;1
245;仕掛ける;しかける;to lay, to set, to wage;1
246;しかしながら;しかしながら;however, nevertheless;1
247;色彩;しきさい;color;1
248;式場;しきじょう;ceremonial hall, place of ceremony (e.g., marriage);1
249;しきたり;しきたり;custom, conventional practice, tradition;1
250;事業;じぎょう;project, enterprise, business;1
251;軽蔑;けいべつ;scorn, disdain;1
252;経歴;けいれき;personal history, career;1
253;経路;けいろ;course, route, channel;1
254;けがらわしい;けがらわしい;filthy, unfair;1
255;劇団;げきだん;troupe, theatrical company;1
256;激励;げきれい;encouragement;1
257;ゲスト;ゲスト;guest;1
258;獣;けだもの;beast, brute;1
259;決;けつ;decision, vote;1
260;決意;けつい;decision, determination;1
261;結核;けっかく;tuberculosis;1
262;決議;けつぎ;resolution, vote, decision;1
263;結合;けつごう;combination, union;1
264;決算;けっさん;balance sheet, settlement of accounts;1
265;月謝;げっしゃ;monthly tuition fee;1
266;決勝;けっしょう;finals (in sports);1
267;結晶;けっしょう;crystal, crystallization;1
268;結成;けっせい;formation;1
269;結束;けっそく;union, unity;1
270;げっそり;げっそり;being disheartened, losing weight;1
271;決断;けつだん;decision, determination;1
272;月賦;げっぷ;monthly installment;1
273;欠乏;けつぼう;shortage;1
274;蹴飛ばす;けとばす;to kick away, to kick (someone);1
275;けなす;けなす;to speak ill of;1
276;煙たい;けむたい;smoky, feeling awkward;1
277;煙る;けむる;to smoke (e.g., fire);1
278;獣;けもの;beast, brute;1
279;家来;けらい;retainer, retinue, servant;1
280;下痢;げり;diarrhea;1
281;権威;けんい;authority, power, influence;1
282;兼業;けんぎょう;holding two jobs at the same time;1
283;原形;げんけい;original form, base form;1
284;原型;げんけい;prototype, model, archetypal;1
285;権限;けんげん;power, authority, jurisdiction;1
286;現行;げんこう;present, current, in operation;1
287;健在;けんざい;in good health, well;1
288;原作;げんさく;original work;1
289;検事;けんじ;public prosecutor;1
290;原子;げんし;atom;1
291;元首;げんしゅ;ruler, sovereign;1
292;原書;げんしょ;original document;1
293;懸賞;けんしょう;offering prizes, winning, reward;1
294;健全;けんぜん;health, soundness, wholesome;1
295;元素;げんそ;element;1
296;同調;どうちょう;sympathy, agree with, alignment;1
297;到底;とうてい;(cannot) possibly;1
298;動的;どうてき;dynamic, kinetic;1
299;尊い;とうとい;precious, valuable, noble;1
300;貴い;とうとい;precious, valuable, noble;1
301;同等;どうとう;equality, equal, same rank;1
302;堂々;どうどう;magnificent, grand, impressive;1
303;尊ぶ;とうとぶ;to value, to prize, to esteem;1
304;どうにか;どうにか;in some way or other, one way or another;1
305;投入;とうにゅう;throw, investment, making (an electrical circuit);1
306;導入;どうにゅう;introduction, bringing in, leading in;1
307;当人;とうにん;the one concerned, the said person;1
308;同封;どうふう;enclosure (e.g., in a letter);1
309;逃亡;とうぼう;escape;1
310;冬眠;とうみん;hibernation, winter sleep;1
311;同盟;どうめい;alliance, union, league;1
312;どうやら;どうやら;it seems like, somehow or other;1
313;動力;どうりょく;power, motive power, dynamic force;1
314;登録;とうろく;registration, register, record;1
315;討論;とうろん;"discussion; debate";1
316;遠ざかる;とおざかる;to go far off;1
317;遠回り;とおまわり;detour, roundabout way;1
318;トーン;トーン;tone;1
319;とかく;とかく;anyhow, anyway, in any case;1
320;とがめる;とがめる;to blame, to rebuke;1
321;時折;ときおり;sometimes;1
322;とぎれる;とぎれる;to pause, to be interrupted;1
323;研ぐ;とぐ;to sharpen, to grind, to polish;1
324;特技;とくぎ;"special talent; skill";1
325;独裁;どくさい;dictatorship, despotism;1
326;特産;とくさん;specialty, special product;1
327;独自;どくじ;original, peculiar, characteristic;1
328;特集;とくしゅう;feature (e.g., newspaper, special edition, report);1
329;独占;どくせん;monopoly;1
330;独創;どくそう;originality;1
331;得点;とくてん;score, points made;1
332;特派;とくは;send specially, special envoy;1
333;特有;とくゆう;characteristic (of, peculiar (to));1
334;とげ (をさす);とげ (をさす);thorn;1
335;遂げる;とげる;to accomplish, to achieve, to carry out;1
336;～どころか;～どころか;rather, far from;1
337;年頃;としごろ;age, marriageable age, adolescence;1
338;戸締り;とじまり;closing up, locking the doors;1
339;途上;とじょう;en/in route, half way;1
340;土台;どだい;foundation, base, basis;1
341;途絶える;とだえる;to stop, to cease, to come to an end;1
342;特許;とっきょ;special permission, patent;1
343;特権;とっけん;privilege, special right;1
344;とっさに;とっさに;at once;1
345;突如;とつじょ;suddenly, all of a sudden;1
346;とって;とって;handle, grip, knob;1
347;突破;とっぱ;breaking through, breakthrough, penetration;1
348;土手;どて;embankment, bank;1
349;届;とどけ;report, notification, registration;1
350;滞る;とどこおる;to stagnate, to be delayed;1
351;整える;ととのえる;"to put in order, to arrange, to adjust; to get ready, to prepare; to raise money";1
352;止める;とどめる;to end, to stop, to cease, to resign;1
353;唱える;となえる;to recite, to chant, to call upon;1
354;殿様;とのさま;feudal lord;1
355;土俵;どひょう;arena;1
356;扉;とびら;door, opening;1
357;溝;どぶ;ditch, drain, gap;1
358;徒歩;とほ;walking, going on foot;1
359;土木;どぼく;public works;1
360;とぼける;とぼける;"to play dumb, to feign ignorance, to play innocent, to have a blank facial expression; to play the fool; to be in one's dotage";1
361;乏しい;とぼしい;meager, scarce, hard up, poor;1
362;富;とみ;wealth, fortune;1
363;富む;とむ;to be rich, to become rich;1
364;共稼ぎ;ともかせぎ;working together, (husband and wife) earning a living together;1
365;伴う;ともなう;to accompany, to bring with;1
366;共働き;ともばたらき;dual income (husband and wife both working);1
367;ドライ;ドライ;dry;1
368;ドライクリーニング;ドライクリーニング;dry cleaning;1
369;ドライバー;ドライバー;driver, screwdriver;1
370;ドライブイン;ドライブイン;drive in;1
371;トラブル;トラブル;trouble (sometimes used as a verb);1
372;トランジスター;トランジスター;transistor;1
373;とりあえず;とりあえず;at once, first of all, for the time being;1
374;取扱;とりあつかい;treatment, handling, management;1
375;取り扱う;とりあつかう;to treat, to handle, to deal in;1
376;鳥居;とりい;Shinto shrine archway;1
377;取り替え;とりかえ;swap, exchange;1
378;取り組む;とりくむ;to tackle, to engage in a bout, to come to grips with;1
379;取締り;とりしまり;control, crackdown, supervision;1
380;取り締まる;とりしまる;to crack down, to control, to supervise;1
381;取り調べる;とりしらべる;to investigate, to examine;1
382;取り立てる;とりたてる;to collect, to extort;1
383;取り次ぐ;とりつぐ;to act as an agent for, to announce (someone), to convey (a message);1
384;取り付ける;とりつける;"to furnish, to install; to get someone's agreement";1
385;取り除く;とりのぞく;to remove, to take away, to set apart;1
386;取引;とりひき;transactions, dealings, business;1
387;取り巻く;とりまく;to surround, to circle, to enclose;1
388;取り混ぜる;とりまぜる;to mix, to put together;1
389;取り戻す;とりもどす;to take back, to regain;1
390;取り寄せる;とりよせる;to order, to send away for;1
391;ドリル;ドリル;drill;1
392;副;とりわけ;especially, above all;1
393;とろける;とろける;"melt; to be enchanted with";1
394;鈍感;どんかん;thickheadedness, stolidity;1
395;とんだ;とんだ;terrible, awful, serious, absolutely not;1
396;度忘れ;どわすれ;lapse of memory, forget for a moment;1
397;問屋;とんや;wholesale store;1
398;内閣;ないかく;cabinet, (government);1
399;乃至;ないし;from...to, between...and, or;1
400;内緒;ないしょ;secrecy, privacy, secret;1
401;内心;ないしん;innermost thoughts, real intention, inmost heart;1
402;内蔵;ないぞう;"internal organ; built-in";1
403;ナイター;ナイター;game under lights (e.g., baseball), night game;1
404;内部;ないぶ;interior, inside, internal;1
405;内乱;ないらん;civil war, domestic conflict;1
406;内陸;ないりく;inland;1
407;苗;なえ;rice seedling;1
408;なおさら;なおさら;all the more, still less;1
409;流し;ながし;sink;1
410;長々;ながなが;long, drawn-out, very long;1
411;中程;なかほど;middle, midway;1
412;渚;なぎさ;water's edge, beach, shore;1
413;嘆く;なげく;to sigh, to lament, to grieve;1
414;投げ出す;なげだす;to abandon, to throw out;1
415;仲人;なこうど;go-between, matchmaker;1
416;和やか;なごやか;mild, calm, harmonious;1
417;名残;なごり;remains, traces, memory;1
418;情け;なさけ;sympathy, compassion;1
419;情無い;なさけない;miserable, pitiable, shameful;1
420;情深い;なさけぶかい;tender-hearted, compassionate;1
421;詰る;なじる;to rebuke, to scold, to tell off;1
422;名高い;なだかい;famous, celebrated, well-known;1
423;雪崩;なだれ;avalanche;1
424;懐く;なつく;to become emotionally attached;1
425;名付ける;なづける;to name;1
426;何気ない;なにげない;casual, unconcerned;1
427;なにとぞ;なにとぞ;please, kindly, by all means;1
428;なにより;なにより;most, best;1
429;ナプキン;ナプキン;napkin;1
430;名札;なふだ;name plate, name tag;1
431;生臭い;なまぐさい;smelling of fish or blood, fish or meat;1
432;生温い;なまぬるい;lukewarm, halfhearted;1
433;生身;なまみ;living flesh, flesh and blood, the quick;1
434;鉛;なまり;lead (the metal);1
435;滑らか;なめらか;smoothness, glassiness;1
436;嘗める;なめる;"to lick; to experience; to make fun of";1
437;悩ましい;なやましい;seductive, melancholy, languid;1
438;悩ます;なやます;to bother, to harass, to molest;1
439;悩み;なやみ;trouble(s), worry, distress;1
440;並びに;ならびに;and;1
441;成り立つ;なりたつ;"to consist of; to be practical (logical, feasible, viable), to be concluded, to hold true";1
442;なるたけ;なるたけ;as much as possible, if possible;1
443;慣れ;なれ;practice, experience;1
444;馴々しい;なれなれしい;familiar, make free with;1
445;～なんか;～なんか;in the least ~;1
446;ナンセンス;ナンセンス;nonsense;1
447;何だか;なんだか;a little, somewhat, somehow;1
448;なんだかんだ;なんだかんだ;something or other;1
449;なんなり;なんなり;anything, whatever;1
450;荷;に;load, baggage, cargo;1
451;似通う;にかよう;to resemble closely;1
452;にきび;にきび;pimple, acne;1
453;賑わう;にぎわう;to prosper, to flourish, to be crowded with people;1
454;憎しみ;にくしみ;hatred;1
455;肉親;にくしん;blood relationship, blood relative;1
456;肉体;にくたい;the body, the flesh;1
457;逃げ出す;にげだす;to run away, to escape from;1
458;西日;にしび;westering sun;1
459;滲む;にじむ;to run, to blur, to spread;1
460;にせ物;にせもの;imitation, counterfeit;1
461;日夜;にちや;day and night, always;1
462;荷造り;にづくり;packing, baling, crating;1
463;担う;になう;to carry on shoulder, to bear (burden), to shoulder (gun);1
464;鈍る;にぶる;to become less capable, to grow dull, to become blunt, to weaken;1
465;にも関わらず;にもかかわらず;in spite of, nevertheless;1
466;ニュアンス;ニュアンス;nuance;1
467;ニュー;ニュー;new;1
468;入手;にゅうしゅ;obtaining, coming to hand;1
469;入賞;にゅうしょう;winning a prize or place (in a contest;1
470;入浴;にゅうよく;bathe, bathing;1
471;尿;にょう;urine;1
472;認識;にんしき;recognition, cognizance;1
473;妊娠;にんしん;conception, pregnancy;1
474;任務;にんむ;duty, mission, task;1
475;任命;にんめい;appointment, nomination, ordination;1
476;抜かす;ぬかす;to omit, to leave out;1
477;抜け出す;ぬけだす;to slip out, to sneak away, to excel;1
478;主;ぬし;owner, master, god;1
479;沼;ぬま;swamp, bog, pond;1
480;音色;ねいろ;tone color, timbre;1
481;値打ち;ねうち;value, worth, price;1
482;ネガ;ネガ;(photographic) negative;1
483;寝かせる;ねかせる;to put to bed, to lay down, to ferment;1
484;ねじまわし;ねじまわし;screwdriver;1
485;捩れる;ねじれる;twist, strain;1
486;妬む;ねたむ;to be jealous, to be envious;1
487;ねだる;ねだる;to nag, to demand;1
488;熱意;ねつい;zeal, enthusiasm;1
489;熱湯;ねっとう;boiling water;1
490;熱量;ねつりょう;calorific value;1
491;粘り;ねばり;stickiness, viscosity;1
492;粘る;ねばる;to be sticky, to be adhesive, to persist, to stick to;1
493;値引き;ねびき;price reduction, discount;1
494;根回し;ねまわし;making necessary arrangements;1
495;眠たい;ねむたい;sleepy;1
496;練る;ねる;to knead, to work over, to polish up;1
497;念;ねん;sense, feeling, desire;1
498;年賀;ねんが;New Year's greetings, New Year's card;1
499;念願;ねんがん;one's heart's desire, earnest petition;1
500;年号;ねんごう;name of an era, year number;1
501;燃焼;ねんしょう;burning, combustion;1
502;年長;ねんちょう;seniority;1
503;燃料;ねんりょう;fuel;1
504;年輪;ねんりん;annual tree ring;1
505;ノイローゼ;ノイローゼ;neurosis (GER: Neurose);1
506;農耕;のうこう;farming, agriculture;1
507;農場;のうじょう;farm;1
508;農地;のうち;agricultural land;1
509;納入;のうにゅう;payment, supply;1
510;逃す;のがす;to let loose, to set free, to let escape;1
511;逃れる;のがれる;to escape;1
512;軒並;のきなみ;"row of houses; uniformly";1
513;望ましい;のぞましい;desirable, hoped for;1
514;乗っ取る;のっとる;to capture, to occupy, to take over;1
515;のどか;のどか;tranquil, calm, quiet;1
516;罵る;ののしる;to speak ill of, to abuse;1
517;延べ;のべ;futures, credit (buying), stretching, total;1
518;飲み込む;のみこむ;to gulp down, to swallow deeply, to understand;1
519;乗り込む;のりこむ;"to board, to get into (a car); to march into, to enter";1
520;刃;は;blade, sword;1
521;～派;～は;group, party, section (mil);1
522;バー;バー;bar;1
523;把握;はあく;grasp, catch, understanding;1
524;パート;パート;part-time job;1
525;廃棄;はいき;disposal, abandon, discarding;1
526;配給;はいきゅう;distribution (e.g., films, rice;1
527;ばい菌;ばいきん;bacteria, germ(s);1
528;配偶者;はいぐうしゃ;spouse;1
529;拝啓;はいけい;-- a formal greeting used at the beginning of a letter --;1
530;背景;はいけい;background, scenery, setting;1
531;背後;はいご;back, rear;1
532;廃止;はいし;abolition, repeal;1
533;拝借;はいしゃく;(humble) (polite) borrowing;1
534;排除;はいじょ;exclusion, removal, rejection;1
535;賠償;ばいしょう;reparations, indemnity, compensation;1
536;排水;はいすい;drainage;1
537;敗戦;はいせん;defeat, losing a war;1
538;配置;はいち;arrangement (of resources), disposition;1
539;配布;はいふ;distribution;1
540;配分;はいぶん;distribution, allotment;1
541;敗北;はいぼく;defeat (as a verb it means 'to be defeated');1
542;倍率;ばいりつ;diameter, magnification;1
543;配慮;はいりょ;consideration, concern, forethought;1
544;配列;はいれつ;arrangement, array (programming);1
545;破壊;はかい;destruction;1
546;いたわる;いたわる;to sympathize with, to console, to care for;1
547;一概に;いちがいに;unconditionally, necessarily;1
548;著しい;いちじるしい;remarkable, considerable;1
549;一同;いちどう;all present, all concerned, all of us;1
550;一部分;いちぶぶん;a part, a portion;1
551;一別;いちべつ;parting;1
552;一面;いちめん;one side, the other hand;1
553;一目;いちもく;a glance, a look, a glimpse;1
554;一様;いちよう;uniform, similar, equal;1
555;一律;いちりつ;even, uniform, equal;1
556;一連;いちれん;a series, a chain, a ream (of paper);1
557;一括;いっかつ;all together, batch;1
558;一気;いっき;at one push, in one gulp;1
559;一挙に;いっきょに;at a stroke, with a single swoop;1
560;一見;いっけん;"a look, a glimpse, glance; first meeting";1
561;一切;いっさい;without exception, the whole;1
562;一心;いっしん;one mind, with rapt attention;1
563;いっそ;いっそ;rather, sooner, might as well;1
564;一変;いっぺん;complete change;1
565;意図;いと;intention, aim, design;1
566;営む;いとなむ;to carry on (e.g., in ceremony), to run a business;1
567;挑む;いどむ;to challenge;1
568;稲光;いなびかり;(flash of) lightning;1
569;祈り;いのり;prayer, supplication;1
570;いびき;いびき;snoring;1
571;今更;いまさら;now, again;1
572;未だ;いまだ;yet, still;1
573;移民;いみん;emigrant, immigrant;1
574;嫌々;いやいや;reluctantly, by no means, unwillingly;1
575;卑しい;いやしい;greedy, vulgar, shabby;1
576;いやに;いやに;awfully, terribly;1
577;いやらしい;いやらしい;unpleasant, disgusting, indecent;1
578;意欲;いよく;will, desire, ambition;1
579;威力;いりょく;power, might, authority;1
580;衣類;いるい;clothes, clothing, garments;1
581;異論;いろん;different opinion, objection;1
582;印鑑;いんかん;stamp, seal;1
583;陰気;いんき;gloom, melancholy;1
584;隠居;いんきょ;"retirement; retired person";1
585;インターチェンジ;インターチェンジ;interchange;1
586;インターナショナル;インターナショナル;international;1
587;インターフォン;インターフォン;entry phone, intercom;1
588;インテリ;インテリ;(abbr.) egghead, intelligentsia;1
589;インフォメーション;インフォメーション;information;1
590;インフレ;インフレ;(abbr.) inflation;1
591;受かる;うかる;to pass (examination);1
592;受け入れ;うけいれ;receiving, acceptance;1
593;受け入れる;うけいれる;to accept, to receive;1
594;受け継ぐ;うけつぐ;to inherit, to succeed;1
595;受け付ける;うけつける;to be accepted, to receive (an application);1
596;受け止める;うけとめる;to catch, to react to, to take;1
597;受身;うけみ;passive, passive voice;1
598;受持ち;うけもち;charge (of something), matter in one's charge;1
599;動き;うごき;movement, activity, trend;1
600;埋める;うずめる;to bury, to fill;1
601;嘘つき;うそつき;liar;1
602;うたた寝;うたたね;dozing, napping;1
603;打ち明ける;うちあける;to confess, to be open;1
604;打ち切る;うちきる;to stop, to abort, to discontinue, to close;1
605;打ち消し;うちけし;(gram) negation, denial, negative;1
606;打ち込む;うちこむ;to devote oneself to, to shoot into;1
607;団扇;うちわ;fan;1
608;内訳;うちわけ;the items, breakdown, classification;1
609;写し;うつし;copy, duplicate;1
610;訴え;うったえ;lawsuit, complaint;1
611;うっとうしい;うっとうしい;weary, annoying;1
612;うつむく;うつむく;to look downward, to stoop;1
613;空ろ;うつろ;blank, hollow, empty;1
614;器;うつわ;bowl, vessel, container;1
615;腕前;うでまえ;ability, skill, facility;1
616;雨天;うてん;rainy weather;1
